game_id,title,steam_link,krauss_1_definition,krauss_2_kontrast,krauss_3_beispiel_rossmann,krauss_4_schluss,NLI_Total
2191680,Mistwinter Bay,https://store.steampowered.com/app/2191680,99.38,99.66,97.82,99.75,99.15
470310,TROUBLESHOOTER: Abandoned Children,https://store.steampowered.com/app/470310,99.5,98.94,0.02,99.38,74.46
529340,Victoria 3,https://store.steampowered.com/app/529340,0.02,99.47,98.62,94.1,73.05
1308760,Mesmer,https://store.steampowered.com/app/1308760,25.79,99.47,0.03,99.69,56.24
1641830,Axis Football 2021,https://store.steampowered.com/app/1641830,1.07,99.52,0.02,99.71,50.08
1877960,Trimps,https://store.steampowered.com/app/1877960,0.64,99.61,0.03,97.16,49.36
3162260,Doll Catching Simulator,https://store.steampowered.com/app/3162260,0.13,99.47,0.01,96.45,49.02
589870,Learn to Fly 3,https://store.steampowered.com/app/589870,0.91,92.56,0.27,97.89,47.91
1207650,Suzerain,https://store.steampowered.com/app/1207650,0.08,99.47,0.06,64.03,40.91
223850,3DMark,https://store.steampowered.com/app/223850,0.08,57.26,3.4,96.45,39.3
